recipe_title,description,preparation_time,category,instruction,calories,protein,carbs,fats,"list of ingredients used (ingredient_name, quantity, unit, calories)"
Avocado Toast (Style #11),Creamy smashed avocado over toasted whole wheat or simple bread alternatives.,5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, All-purpose flour). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",1063,71g,146g,38g,(Avocado; 30; grams; 48 kcal) | (All-purpose flour; 150; grams; 546 kcal) | (Olive oil; 50; grams; 442 kcal) | (Tomato; 150; grams; 27 kcal)
Spinach and Feta Salad (Style #12),Crisp spinach greens tossed with tangy crumbles of feta cheese and roasted sunflower seeds.,9 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spinach (raw), Feta cheese). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",1608,75g,166g,59g,(Spinach (raw); 50; grams; 12 kcal) | (Feta cheese; 15; grams; 40 kcal) | (Sunflower seeds (hulled); 100; grams; 584 kcal) | (Olive oil; 100; grams; 884 kcal) | (Balsamic vinegar; 100; grams; 88 kcal)
Shrimp Scampi Noodles (Style #13),"Plump, juicy shrimp sauteed in a bright, savory garlic, lemon, and butter sauce over noodles.",15 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Shrimp (raw), Egg noodles (dry)). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",793,32g,85g,25g,(Shrimp (raw); 150; grams; 128 kcal) | (Egg noodles (dry); 30; grams; 114 kcal) | (Butter; 50; grams; 358 kcal) | (Garlic; 100; grams; 149 kcal) | (Lemon; 150; grams; 44 kcal)
Apple with Peanut Butter (Style #14),"Crisp, sweet apple slices paired perfectly with a serving of creamy peanut butter.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Apple (with skin), Peanut butter). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",310,17g,42g,8g,(Apple (with skin); 30; grams; 16 kcal) | (Peanut butter; 50; grams; 294 kcal)
Avocado Chocolate Mousse (Style #15),A surprisingly rich and creamy healthy mousse combining ripe avocado with sweet cocoa powder.,15 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cocoa powder). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",315,18g,43g,12g,(Avocado; 100; grams; 160 kcal) | (Cocoa powder; 50; grams; 114 kcal) | (Maple syrup; 15; grams; 39 kcal) | (Almond milk (unsweetened); 15; grams; 2 kcal)
Peanut Butter Banana Oats (Style #16),"Thick, creamy oatmeal swirled with rich peanut butter and sweet sliced banana.",5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",444,32g,44g,13g,(Rolled oats; 30; grams; 114 kcal) | (Whole milk; 15; grams; 9 kcal) | (Peanut butter; 50; grams; 294 kcal) | (Banana; 30; grams; 27 kcal)
Turkey Club Salad (Style #17),Lean deli turkey strips served over crunchy iceberg lettuce with bacon and tomatoes.,15 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Turkey breast (raw), Bacon (raw)). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",883,41g,102g,22g,(Turkey breast (raw); 100; grams; 114 kcal) | (Bacon (raw); 150; grams; 626 kcal) | (Lettuce (iceberg); 100; grams; 14 kcal) | (Tomato; 150; grams; 27 kcal) | (Mayonnaise; 15; grams; 102 kcal)
Turkey Rice Casserole (Style #18),Savory ground turkey combined with wholesome brown rice and sweet green peas.,23 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",159,6g,17g,4g,(Ground turkey; 15; grams; 21 kcal) | (Brown rice (uncooked); 15; grams; 54 kcal) | (Green peas; 30; grams; 24 kcal) | (Yellow onion; 150; grams; 60 kcal)
Tomato and Mozzarella Caprese (Style #19),Fresh sliced tomatoes paired with soft mozzarella cheese and a drizzle of balsamic vinegar.,9 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tomato, Mozzarella cheese). Step 3: Cook or assemble for 9 minutes. Step 4: Finish with remaining toppings and serve immediately.",210,12g,27g,8g,(Tomato; 50; grams; 9 kcal) | (Mozzarella cheese; 15; grams; 42 kcal) | (Balsamic vinegar; 30; grams; 26 kcal) | (Olive oil; 15; grams; 133 kcal)
Sweet Marshmallow Delights (Style #20),Gooey melted marshmallows blended into crispy puffed rice alternatives or simple treats.,13 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Marshmallows, Butter). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",835,40g,95g,19g,(Marshmallows; 150; grams; 477 kcal) | (Butter; 50; grams; 358 kcal)
Fluffy Protein Pancakes (Style #21),"Deliciously light homemade pancakes elevated with milk, egg, and a touch of sweetness.",10 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",1186,87g,128g,28g,(All-purpose flour; 30; grams; 109 kcal) | (Whole milk; 50; grams; 30 kcal) | (Large egg; 150; grams; 214 kcal) | (Sugar (granulated); 30; grams; 116 kcal) | (Butter; 100; grams; 717 kcal)
Tomato Zucchini Pasta (Style #22),Al dente spaghetti tossed with freshly sauteed garden zucchini and rich tomato paste.,15 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spaghetti (dry), Zucchini). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",1549,97g,198g,36g,(Spaghetti (dry); 150; grams; 556 kcal) | (Zucchini; 30; grams; 5 kcal) | (Tomato paste; 100; grams; 82 kcal) | (Olive oil; 100; grams; 884 kcal) | (Garlic; 15; grams; 22 kcal)
Hearty Ground Beef Skillet (Style #23),A comfort-food favorite featuring ground beef cooked down with onions and tomato paste.,18 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground beef (80/20, raw), Yellow onion). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",1394,89g,166g,51g,"(Ground beef (80/20, raw); 15; grams; 15 kcal) | (Yellow onion; 15; grams; 6 kcal) | (Tomato paste; 30; grams; 25 kcal) | (Garlic; 15; grams; 22 kcal) | (Olive oil; 150; grams; 1326 kcal)"
Yogurt Berry Crunch (Style #24),Smooth Greek yogurt topped with fresh blueberries and crunchy chia seeds.,6 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Blueberries). Step 3: Cook or assemble for 6 minutes. Step 4: Finish with remaining toppings and serve immediately.",190,9g,22g,5g,"(Greek yogurt (plain, non-fat); 100; grams; 100 kcal) | (Blueberries; 30; grams; 17 kcal) | (Chia seeds; 15; grams; 73 kcal)"
Avocado Chocolate Mousse (Style #25),A surprisingly rich and creamy healthy mousse combining ripe avocado with sweet cocoa powder.,14 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Avocado, Cocoa powder). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",600,41g,67g,17g,(Avocado; 100; grams; 160 kcal) | (Cocoa powder; 150; grams; 342 kcal) | (Maple syrup; 30; grams; 78 kcal) | (Almond milk (unsweetened); 150; grams; 20 kcal)
Fluffy Protein Pancakes (Style #26),"Deliciously light homemade pancakes elevated with milk, egg, and a touch of sweetness.",14 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (All-purpose flour, Whole milk). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",1395,98g,178g,47g,(All-purpose flour; 30; grams; 109 kcal) | (Whole milk; 15; grams; 9 kcal) | (Large egg; 100; grams; 143 kcal) | (Sugar (granulated); 15; grams; 58 kcal) | (Butter; 150; grams; 1076 kcal)
Black Bean and Corn Bowl (Style #27),"A hearty vegetarian fiber bowl featuring black beans, sweet corn, and a bright lime dressing.",17 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Black beans (canned), Corn (kernels)). Step 3: Cook or assemble for 17 minutes. Step 4: Finish with remaining toppings and serve immediately.",528,21g,67g,13g,(Black beans (canned); 50; grams; 46 kcal) | (Corn (kernels); 30; grams; 26 kcal) | (Bell pepper (green); 50; grams; 10 kcal) | (Olive oil; 50; grams; 442 kcal) | (Lime; 15; grams; 4 kcal)
Hearty Ground Beef Skillet (Style #28),A comfort-food favorite featuring ground beef cooked down with onions and tomato paste.,20 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground beef (80/20, raw), Yellow onion). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",1526,101g,197g,34g,"(Ground beef (80/20, raw); 15; grams; 15 kcal) | (Yellow onion; 100; grams; 40 kcal) | (Tomato paste; 150; grams; 123 kcal) | (Garlic; 15; grams; 22 kcal) | (Olive oil; 150; grams; 1326 kcal)"
Mixed Nuts Energy Mix (Style #29),"A crunchy, nutrient-dense handful of whole almonds, walnuts, and toasted cashews.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Almonds, Walnuts). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",1051,52g,116g,38g,(Almonds; 100; grams; 579 kcal) | (Walnuts; 30; grams; 196 kcal) | (Cashews; 50; grams; 276 kcal)
Fudgy Cocoa Brownies (Style #30),"Rich, dense, and intensely chocolatey brownies made using dark cocoa powder.",24 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cocoa powder, Sugar (granulated)). Step 3: Cook or assemble for 24 minutes. Step 4: Finish with remaining toppings and serve immediately.",650,40g,73g,16g,(Cocoa powder; 50; grams; 114 kcal) | (Sugar (granulated); 50; grams; 194 kcal) | (Butter; 30; grams; 215 kcal) | (All-purpose flour; 15; grams; 55 kcal) | (Large egg; 50; grams; 72 kcal)
Greek Yogurt Parfait (Style #31),"Thick Greek yogurt layered with raw oats, sweet berries, and a drizzle of organic honey.",7 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Rolled oats). Step 3: Cook or assemble for 7 minutes. Step 4: Finish with remaining toppings and serve immediately.",961,56g,131g,25g,"(Greek yogurt (plain, non-fat); 15; grams; 15 kcal) | (Rolled oats; 100; grams; 379 kcal) | (Blueberries; 150; grams; 85 kcal) | (Raspberries; 50; grams; 26 kcal) | (Honey; 150; grams; 456 kcal)"
Turkey Club Salad (Style #32),Lean deli turkey strips served over crunchy iceberg lettuce with bacon and tomatoes.,10 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Turkey breast (raw), Bacon (raw)). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",1299,60g,130g,50g,(Turkey breast (raw); 150; grams; 171 kcal) | (Bacon (raw); 100; grams; 417 kcal) | (Lettuce (iceberg); 30; grams; 4 kcal) | (Tomato; 150; grams; 27 kcal) | (Mayonnaise; 100; grams; 680 kcal)
Turkey Rice Casserole (Style #33),Savory ground turkey combined with wholesome brown rice and sweet green peas.,30 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Ground turkey, Brown rice (uncooked)). Step 3: Cook or assemble for 30 minutes. Step 4: Finish with remaining toppings and serve immediately.",464,33g,54g,17g,(Ground turkey; 100; grams; 143 kcal) | (Brown rice (uncooked); 50; grams; 180 kcal) | (Green peas; 100; grams; 81 kcal) | (Yellow onion; 150; grams; 60 kcal)
Tomato and Mozzarella Caprese (Style #34),Fresh sliced tomatoes paired with soft mozzarella cheese and a drizzle of balsamic vinegar.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Tomato, Mozzarella cheese). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",1399,66g,147g,44g,(Tomato; 100; grams; 18 kcal) | (Mozzarella cheese; 15; grams; 42 kcal) | (Balsamic vinegar; 15; grams; 13 kcal) | (Olive oil; 150; grams; 1326 kcal)
Baked Peaches with Honey (Style #35),"Soft, caramelized halved peaches baked with sweet honey and a touch of warm butter.",25 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Peach, Honey). Step 3: Cook or assemble for 25 minutes. Step 4: Finish with remaining toppings and serve immediately.",326,18g,37g,11g,(Peach; 50; grams; 20 kcal) | (Honey; 30; grams; 91 kcal) | (Butter; 30; grams; 215 kcal)
Sweet Potato Hash (Style #36),"A nutritious, comforting morning skillet filled with cubed sweet potatoes and onions.",17 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sweet potato, Yellow onion). Step 3: Cook or assemble for 17 minutes. Step 4: Finish with remaining toppings and serve immediately.",1364,53g,160g,44g,(Sweet potato; 15; grams; 13 kcal) | (Yellow onion; 50; grams; 20 kcal) | (Olive oil; 150; grams; 1326 kcal) | (Bell pepper (red); 15; grams; 5 kcal)
Egg Salad Salad (Style #37),Rich chopped hard-boiled eggs mashed with mayonnaise and served over fresh salad greens.,8 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Large egg, Mayonnaise). Step 3: Cook or assemble for 8 minutes. Step 4: Finish with remaining toppings and serve immediately.",1284,59g,130g,41g,(Large egg; 150; grams; 214 kcal) | (Mayonnaise; 150; grams; 1020 kcal) | (Lettuce (romaine); 30; grams; 30 kcal) | (Yellow onion; 50; grams; 20 kcal)
Beef and Broccoli Stir-Fry (Style #38),Tender strips of lean beef stir-fried with crisp broccoli florets in a savory soy sauce.,24 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Sirloin steak (raw), Broccoli). Step 3: Cook or assemble for 24 minutes. Step 4: Finish with remaining toppings and serve immediately.",560,25g,57g,19g,(Sirloin steak (raw); 50; grams; 71 kcal) | (Broccoli; 150; grams; 51 kcal) | (Soy sauce; 100; grams; 53 kcal) | (Ginger root; 150; grams; 120 kcal) | (Sesame oil; 30; grams; 265 kcal)
Mixed Nuts Energy Mix (Style #39),"A crunchy, nutrient-dense handful of whole almonds, walnuts, and toasted cashews.",5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Almonds, Walnuts). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",497,20g,60g,14g,(Almonds; 15; grams; 87 kcal) | (Walnuts; 50; grams; 327 kcal) | (Cashews; 15; grams; 83 kcal)
Baked Peaches with Honey (Style #40),"Soft, caramelized halved peaches baked with sweet honey and a touch of warm butter.",18 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Peach, Honey). Step 3: Cook or assemble for 18 minutes. Step 4: Finish with remaining toppings and serve immediately.",273,12g,36g,8g,(Peach; 30; grams; 12 kcal) | (Honey; 15; grams; 46 kcal) | (Butter; 30; grams; 215 kcal)
Greek Yogurt Parfait (Style #41),"Thick Greek yogurt layered with raw oats, sweet berries, and a drizzle of organic honey.",5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Rolled oats). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",589,37g,60g,18g,"(Greek yogurt (plain, non-fat); 15; grams; 15 kcal) | (Rolled oats; 15; grams; 57 kcal) | (Blueberries; 15; grams; 9 kcal) | (Raspberries; 100; grams; 52 kcal) | (Honey; 150; grams; 456 kcal)"
Classic BLT (Style #42),Crispy smoked bacon slices layered with fresh tomatoes and crisp iceberg lettuce.,10 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Bacon (raw), Tomato). Step 3: Cook or assemble for 10 minutes. Step 4: Finish with remaining toppings and serve immediately.",819,50g,108g,21g,(Bacon (raw); 100; grams; 417 kcal) | (Tomato; 50; grams; 9 kcal) | (Lettuce (iceberg); 50; grams; 7 kcal) | (Mayonnaise; 30; grams; 204 kcal) | (All-purpose flour; 50; grams; 182 kcal)
Chicken Alfredo Pasta (Style #43),Tender grilled chicken tossed with fettuccine or egg noodles in a rich heavy cream sauce.,23 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), Egg noodles (dry)). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",1257,92g,145g,34g,(Chicken breast (raw); 50; grams; 60 kcal) | (Egg noodles (dry); 30; grams; 114 kcal) | (Heavy cream; 150; grams; 510 kcal) | (Parmesan cheese (grated); 50; grams; 215 kcal) | (Butter; 50; grams; 358 kcal)
Chia Seed Pudding (Style #44),Nutritious chia seeds soaked overnight in rich coconut milk and sweetened with maple syrup.,14 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chia seeds, Coconut milk (canned)). Step 3: Cook or assemble for 14 minutes. Step 4: Finish with remaining toppings and serve immediately.",669,45g,75g,20g,(Chia seeds; 50; grams; 243 kcal) | (Coconut milk (canned); 150; grams; 296 kcal) | (Maple syrup; 50; grams; 130 kcal)
Sweet Maple Pumpkin Puree (Style #45),"A comforting, warm dessert bowl of smooth pumpkin sweetened elegantly with maple syrup.",5 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Pumpkin (puree), Maple syrup). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",451,33g,57g,12g,(Pumpkin (puree); 30; grams; 10 kcal) | (Maple syrup; 150; grams; 390 kcal) | (Heavy cream; 15; grams; 51 kcal)
Greek Yogurt Parfait (Style #46),"Thick Greek yogurt layered with raw oats, sweet berries, and a drizzle of organic honey.",5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Rolled oats). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",254,18g,33g,8g,"(Greek yogurt (plain, non-fat); 50; grams; 50 kcal) | (Rolled oats; 30; grams; 114 kcal) | (Blueberries; 50; grams; 28 kcal) | (Raspberries; 30; grams; 16 kcal) | (Honey; 15; grams; 46 kcal)"
Tomato Zucchini Pasta (Style #47),Al dente spaghetti tossed with freshly sauteed garden zucchini and rich tomato paste.,15 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Spaghetti (dry), Zucchini). Step 3: Cook or assemble for 15 minutes. Step 4: Finish with remaining toppings and serve immediately.",873,55g,90g,32g,(Spaghetti (dry); 100; grams; 371 kcal) | (Zucchini; 150; grams; 26 kcal) | (Tomato paste; 15; grams; 12 kcal) | (Olive oil; 50; grams; 442 kcal) | (Garlic; 15; grams; 22 kcal)
Baked Cod with Asparagus (Style #48),Light and flaky wild cod fillet baked beautifully alongside tender asparagus spears.,16 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Cod fillet (raw), Asparagus). Step 3: Cook or assemble for 16 minutes. Step 4: Finish with remaining toppings and serve immediately.",478,34g,63g,13g,(Cod fillet (raw); 15; grams; 12 kcal) | (Asparagus; 50; grams; 10 kcal) | (Olive oil; 50; grams; 442 kcal) | (Lemon; 50; grams; 14 kcal)
Yogurt Berry Crunch (Style #49),Smooth Greek yogurt topped with fresh blueberries and crunchy chia seeds.,5 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Greek yogurt (plain, non-fat), Blueberries). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",410,27g,48g,10g,"(Greek yogurt (plain, non-fat); 150; grams; 150 kcal) | (Blueberries; 30; grams; 17 kcal) | (Chia seeds; 50; grams; 243 kcal)"
Baked Peaches with Honey (Style #50),"Soft, caramelized halved peaches baked with sweet honey and a touch of warm butter.",20 mins,dessert,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Peach, Honey). Step 3: Cook or assemble for 20 minutes. Step 4: Finish with remaining toppings and serve immediately.",1173,82g,119g,42g,(Peach; 15; grams; 6 kcal) | (Honey; 30; grams; 91 kcal) | (Butter; 150; grams; 1076 kcal)
Berry Oatmeal (Style #51),"A classic, heart-healthy rolled oats breakfast topped with sweet fresh berries.",5 mins,breakfast,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Rolled oats, Whole milk). Step 3: Cook or assemble for 5 minutes. Step 4: Finish with remaining toppings and serve immediately.",606,36g,65g,16g,(Rolled oats; 100; grams; 379 kcal) | (Whole milk; 30; grams; 18 kcal) | (Blueberries; 15; grams; 9 kcal) | (Strawberries; 150; grams; 48 kcal) | (Honey; 50; grams; 152 kcal)
Chicken Rice Bowl (Style #52),Lean grilled chicken breast served over fluffy white rice with a side of steamed broccoli.,23 mins,lunch,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chicken breast (raw), White rice (uncooked)). Step 3: Cook or assemble for 23 minutes. Step 4: Finish with remaining toppings and serve immediately.",424,19g,47g,15g,(Chicken breast (raw); 15; grams; 18 kcal) | (White rice (uncooked); 30; grams; 108 kcal) | (Broccoli; 50; grams; 17 kcal) | (Soy sauce; 30; grams; 16 kcal) | (Sesame oil; 30; grams; 265 kcal)
Garlic Butter Salmon (Style #53),Flaky pan-seared salmon fillet basted with a decadent garlic and herb butter sauce.,17 mins,dinner,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Salmon fillet (raw), Butter). Step 3: Cook or assemble for 17 minutes. Step 4: Finish with remaining toppings and serve immediately.",1178,67g,123g,39g,(Salmon fillet (raw); 50; grams; 71 kcal) | (Butter; 150; grams; 1076 kcal) | (Garlic; 15; grams; 22 kcal) | (Lemon; 30; grams; 9 kcal)
Chia Seed Pudding (Style #54),Nutritious chia seeds soaked overnight in rich coconut milk and sweetened with maple syrup.,13 mins,snack,"Step 1: Prep and clean all raw items. Step 2: Combine your base elements (Chia seeds, Coconut milk (canned)). Step 3: Cook or assemble for 13 minutes. Step 4: Finish with remaining toppings and serve immediately.",249,10g,32g,8g,(Chia seeds; 15; grams; 73 kcal) | (Coconut milk (canned); 50; grams; 98 kcal) | (Maple syrup; 30; grams; 78 kcal)
